                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     63,                 2.1494,                  1.198,                 1.0963,                0.51137,                0.71311,                0.49369,                0.21353,                 2.1923,                 1.9525,                 1.7839,               0.003862,               0.003862,               0.003862
                     64,                 2.1815,                 1.2341,                 1.0845,                0.47971,                0.63115,                0.45991,                0.19901,                 2.0874,                 1.6879,                 1.7135,               0.003763,               0.003763,               0.003763
                     65,                 2.1425,                 1.2584,                 1.0918,                0.48931,                0.68852,                0.49311,                0.20168,                 2.1888,                 1.8475,                 1.7449,               0.003664,               0.003664,               0.003664
                     66,                  2.137,                 1.1391,                  1.066,                0.36945,                0.54918,                0.38701,                0.16292,                 2.2357,                 1.7479,                 1.7714,               0.003565,               0.003565,               0.003565
                     67,                 2.1639,                 1.2515,                 1.1202,                0.43942,                0.72131,                0.48338,                0.21434,                 2.0797,                 1.5261,                 1.6999,               0.003466,               0.003466,               0.003466
                     68,                 2.0601,                 1.2239,                 1.0614,                0.48882,                0.68852,                0.48775,                0.21264,                 2.0708,                 1.6067,                 1.6856,               0.003367,               0.003367,               0.003367
                     69,                 2.0519,                 1.1889,                  1.093,                0.49028,                0.66393,                0.45125,                0.20279,                 2.0576,                 1.6378,                 1.6703,               0.003268,               0.003268,               0.003268
                     70,                 2.0621,                 1.1944,                 1.0839,                0.46239,                0.63934,                0.42945,                0.19943,                   1.99,                 1.6968,                 1.6558,               0.003169,               0.003169,               0.003169
                     71,                 2.1373,                 1.2011,                 1.1075,                 0.4525,                0.67744,                0.43794,                0.19171,                 2.0676,                 1.6767,                 1.6916,                0.00307,                0.00307,                0.00307
                     72,                  2.088,                 1.1278,                 1.1083,                0.46862,                0.63115,                0.43211,                0.19473,                 1.9882,                 1.6708,                 1.6545,               0.002971,               0.002971,               0.002971
